date,AQI
19-02-16,112
23-02-16,110.6666667
26-02-16,110.3333333
05-03-16,103
09-03-16,113.6666667
19-03-16,109.6666667
23-03-16,105.6666667
26-03-16,106.3333333
02-04-16,104.3333333
16-04-16,107.3333333
20-04-16,108
23-04-16,108
21-05-16,105
25-05-16,111
28-05-16,114.3333333
29-05-16,116.6666667
01-06-16,113.3333333
08-06-16,116.6666667
18-06-16,103
02-07-16,102.3333333
06-07-16,104.6666667
09-07-16,102
16-07-16,109.6666667
20-08-16,104.6666667
27-08-16,109.3333333
03-09-16,108.3333333
07-09-16,108
10-09-16,113.6666667
14-09-16,110
17-09-16,101.6666667
21-09-16,109
24-09-16,116.3333333
28-09-16,114
01-10-16,116.6666667
05-10-16,116
08-10-16,116.3333333
12-10-16,109.3333333
16-10-16,111
19-10-16,113.6666667
22-10-16,113.6666667
26-10-16,104.6666667
29-10-16,105.3333333
07-12-16,114.6666667
10-12-16,114.3333333
14-12-16,110.6666667
17-12-16,116
21-12-16,114.3333333
24-12-16,114.3333333
28-12-16,121
31-12-16,120.6666667
06-01-16,109
09-01-16,118.3333333
13-01-16,113
05-01-17,120.3333333
12-01-17,111.6666667
17-01-17,134
22-01-17,117.6666667
29-01-17,116.3333333
02-02-17,116.3333333
05-02-17,101.3333333
09-02-17,116.3333333
12-02-17,104
17-02-17,109
19-02-17,108.6666667
24-02-17,119.3333333
26-02-17,135
02-03-17,113
05-03-17,138.6666667
09-03-17,137
12-03-17,116.6666667
19-03-17,155.3333333
24-03-17,143.6666667
26-03-17,157
03-04-17,140.6666667
07-04-17,135.3333333
10-04-17,128.3333333
14-04-17,152.6666667
17-04-17,134.6666667
21-04-17,110.3333333
24-04-17,130.3333333
28-04-17,123
05-05-17,118.3333333
07-05-17,116.6666667
12-05-17,105.6666667
17-05-17,122.3333333
19-05-17,135.3333333
22-05-17,123
26-05-17,110
29-05-17,123.6666667
02-06-17,121.3333333
04-06-17,125
06-06-17,115.3333333
09-06-17,105.3333333
12-06-17,138
17-06-17,116
27-06-17,132.3333333
08-07-17,120.3333333
11-07-17,115.6666667
17-07-17,109.6666667
04-08-17,121
11-08-17,147.3333333
14-08-17,142.6666667
18-08-17,136.6666667
01-09-17,152
11-09-17,144.3333333
17-09-17,138.3333333
18-09-17,135.6666667
22-09-17,119.3333333
09-10-17,124.6666667
13-10-17,119.3333333
17-10-17,131.3333333
20-10-17,120.6666667
23-10-17,127.3333333
27-10-17,133.6666667
30-10-17,125.6666667
01-12-17,122.3333333
04-12-17,132
08-12-17,122.6666667
11-12-17,135
17-12-17,117.3333333
18-12-17,122.3333333
22-12-17,117.3333333
26-12-17,138.3333333
29-12-17,123.3333333
12-01-18,113.1583598
18-01-18,115.9002379
22-01-18,114.4481236
29-01-18,115.524394
03-02-18,113.4192262
05-02-18,113.254579
10-02-18,115.3059059
12-02-18,113.7541984
24-02-18,112.7676288
03-03-18,109.693902
05-03-18,110.3437735
12-03-18,107.8252584
17-03-18,108.9851325
19-03-18,106.938925
24-03-18,108.882069
26-03-18,108.6314984
02-04-18,108.255789
07-04-18,107.6938383
14-04-18,108.2141004
16-04-18,110.9981348
21-04-18,108.226834
23-04-18,107.6860496
05-05-18,107.4289487
07-05-18,109.0390797
12-05-18,110.5360552
14-05-18,108.9978334
19-05-18,109.1675398
26-05-18,110.1643718
02-06-18,107.5524353
09-06-18,110.1987477
11-06-18,109.4425158
16-06-18,110.5927395
23-06-18,108.5918785
25-06-18,107.6262195
30-06-18,110.7877271
07-07-18,108.6976881
14-07-18,112.2423644
16-07-18,110.7820559
28-07-18,112.2608023
30-07-18,114.6266994
06-08-18,112.1348085
13-08-18,110.874043
18-08-18,110.7423156
20-08-18,108.4005187
25-08-18,109.4508239
01-09-18,109.9983529
03-09-18,108.4469187
08-09-18,110.1660963
10-09-18,106.881906
18-09-18,106.284724
17-09-18,105.1255512
24-09-18,104.8558893
29-09-18,104.8858381
01-10-18,105.0877542
06-10-18,104.6701585
08-10-18,106.7062261
13-10-18,107.2659035
18-10-18,106.2785661
20-10-18,116.4860057
22-10-18,111.1373788
27-10-18,111.7963653
29-10-18,111.4233907
03-11-18,111.0485023
05-11-18,111.6255869
10-11-18,109.3526391
17-11-18,112.0113887
19-11-18,112.7773113
24-11-18,111.3212155
26-11-18,113.7896642
01-12-18,111.869348
03-12-18,110.3563314
